Phase Name,Activity,Description,Options / Alternatives,Constitution,Final Decision?
Election Scope,Decide Election Coverage,"Decide whether election for GC only or all levels?","GC only / GC+RC / All levels; GC, RC, NC, CC",,
Election Order,Decide election order,"Bottom-up vs Top-down election","Chapter→National→Regional→Global OR Global First",,
Membership Cutoff,Freeze membership date,"Define eligibility cutoff date","Fixed Date / Rolling",,
Voter List Review & Finalize,Prepare voter list,"Prepare eligible voter database, allow corrections, freeze voters","Centralized / Regional lists",,
Election Announcement,Publish election notice,"Official election announcement","Email / WhatsApp / Website","Applications invited 40 business days before election; Submission deadline 10 business days before election",
Nomination Opening,Open nominations,"Invite candidate applications","10 days / 15 days",,
Nomination Requirements,Decide documents required,"Application + Declaration","CV optional / mandatory","Written application; Declaration of willingness to serve",
Nomination Closure,Close nominations,"Last date for nominations",,,
Scrutiny,Verify candidates,"Check eligibility","EnC review / Sub committee",,
Rejection Appeals,Allow appeals,"Candidates appeal rejection","2 days / 3 days",,
Withdrawal Period,Candidate withdrawal,"Allow voluntary withdrawal","3 days / 5 days",,
Final Candidate List,Publish final slate,"Publish candidates list",,"Candidates = Positions → Acclamation; Candidates > Positions → Election Required",
Campaign Period,Candidate introduction,"Optional campaigning","No campaign / Limited",,
Candidate Presentation,Townhall session,"Candidate introduction session","Live session / Written only",,
Voting Platform,Decide voting software,"Secure voting tool","Google Form / Others",,
Voting Duration,Voting window,"Define voting period","24 hrs / 48 hrs / 72 hrs",,
Observer Appointment,Appoint observers,"Neutral observers","Internal / External",,
Voting,Conduct voting,"Election day",,"Secret voting; Secured software; Highest votes win",
Vote Counting,Count votes,"Transparent counting","Automated / Manual verification","Tie: Second ballot; If persists → Chair deciding vote",
Tie Resolution,Handle tie,"Tie-breaking mechanism","Re-vote / Chair vote",,
Result Draft,Prepare result,"Draft results",,,
Result Announcement,Publish results,"Declare winners","Email / Public",,
Dispute Period,Allow disputes,"Election challenge window","3 days / 5 days","Election disputes handled by EnC; Decision final",
Final Results,Final confirmation,"Confirm winners",,,
Handover,Transition process,"Office bearer handover","Immediate / Later",,
Term Start,Start new term,"New leadership begins","Immediate / Fixed date",,
Election Report,EnC report,"Submit election report",,,